,title,price,url,image url
26,Aat Kuthuri Nai Darja : Samaresh Majumder,$20.00,https://atnmegastore.ca/product/aat-kuthuri-nai-darja/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/05/Samaresh-Mojumder20200612_0015.jpg?time=1695052098
27,Aat Kuthuri Nai Darja : Samaresh Majumder,$20.00,https://atnmegastore.ca/product/aat-kuthuri-nai-darja-samaresh-majumder/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2021/07/5-SSmart20210718_19580127.jpg?time=1695052098
28,Aay Sukh Jay Sukh  : Samaresh Majumder,$20.00,https://atnmegastore.ca/product/aay-sukh-jay-sukh-samaresh-majumder/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2021/03/Books20210311_20220638.jpg?time=1695052098
29,Aaynar Samne Ebong Bhabar Samay : Buddhadeb Guha,$30.00,https://atnmegastore.ca/product/aaynar-samne-ebong-bhabar-samay-buddhadeb-guha/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2021/03/Books20210311_20393729.jpg?time=1695052098
30,Abagunthan : Samaresh Majumder,$35.00,https://atnmegastore.ca/product/abagunthan-samaresh-majumder/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2022/04/Indian-books20220424_17451083.jpg?time=1695052098
31,Abak Bangladesh – Bichitro Chholonajale Rajniti : Akbar Ali Khan,$40.00,https://atnmegastore.ca/product/abak-bangladesh-bichitro-chholonajale-rajniti-akbar-ali-khan/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2021/07/5-BD-Book-order20210703_19384235.jpg?time=1695052098
32,Abhigyan : Nabaneeta Dev Sen,$15.00,https://atnmegastore.ca/product/abhigyan-nabaneeta-dev-sen/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2021/03/Books20210311_20504329.jpg?time=1695052098
33,Abrittikosh : Ninadbaran Hazra,$23.00,https://atnmegastore.ca/product/abrittikosh/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/09/no-photo.png
34,Abrittir Kobitasamogra : Foyzul Alam Pappu,$45.00,https://atnmegastore.ca/product/abrittir-kobitasamogra-foyzul-alam-pappu/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/05/197120200719_19231793.jpg?time=1695052098
35,Abu Dawood Sharif,$55.00,https://atnmegastore.ca/product/abu-dawood-sharif/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/05/Abudaud-sharif.jpg?time=1695052098
36,Abul Bashar-10 Ti Upanyas,$50.00,https://atnmegastore.ca/product/abul-bashar-10ti-upanyas-5/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/09/no-photo.png
37,Adamboma  : Salimullah Khan,$40.00,https://atnmegastore.ca/product/adamboma-salimullah-khan/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2023/02/Salimullah-Khan20230402_15411994-1.jpg?time=1695052098
38,Adamya – 1 : Smaranjit Chakrabarti,$45.00,https://atnmegastore.ca/product/adamya-1-smaranjit-chakrabarti/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/05/Smaranjit20201021_20105473-500x769.jpg
39,Adamya – 2 : Smaranjit Chakrabarti,$45.00,https://atnmegastore.ca/product/adamya-2-smaranjit-chakrabarti/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/05/Smaranjit20201021_20093997-500x769.jpg
40,Adamya – 3 : Smaranjit Chakrabarti,$45.00,https://atnmegastore.ca/product/adamya-3-smaranjit-chakrabarti/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/05/Smaranjit20201021_20064795-500x769.jpg
41,Adamya 3 Vol Set : Smaranjit Chakrabarti,$150.00,https://atnmegastore.ca/product/adamya-3-vol-set-smaranjit-chakrabarti/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/05/Smaranjit20201021_20105473-500x769.jpg
42,Adarsha Hindu Hotel : Bibhutibhushan Banerjee,$15.00,https://atnmegastore.ca/product/adarsha-hindu-hotel/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/05/Books20210311_20122850.jpg?time=1695052098
43,Adbhuture : Sirshendu Mukhopadhyay,$25.00,https://atnmegastore.ca/product/adbhuture-sirshendu-sukhopadhyay/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/06/Sirshendu20200611_0007.jpg?time=1695052098
44,Adharbela : Suchitra Bhattacharya,$20.00,https://atnmegastore.ca/product/adharbela/,https://q7cb86.a2cdn1.secureserver.net/wp-content/uploads/2020/05/Suchitra-Bhattacarya20200627_16534824.jpg?time=1695052098
